iter	Passed	Remaining
0	47	47764
1	48	24238
2	49	16401
3	49	12410
4	50	9999
5	50	8395
6	51	7269
7	51	6405
8	52	5729
9	52	5187
10	52	4746
11	53	4375
12	53	4064
13	53	3796
14	54	3564
15	54	3361
16	55	3182
17	55	3021
18	55	2880
19	56	2753
20	56	2638
21	56	2533
22	57	2435
23	57	2346
24	58	2263
25	58	2207
26	59	2147
27	59	2081
28	60	2027
29	61	1972
30	61	1917
31	61	1867
32	62	1820
33	62	1774
34	62	1731
35	63	1690
36	63	1652
37	63	1616
38	64	1582
39	64	1550
40	64	1520
41	65	1491
42	65	1463
43	66	1437
44	66	1411
45	66	1387
46	67	1364
47	67	1342
48	68	1321
49	68	1301
50	68	1280
51	69	1261
52	69	1244
53	70	1227
54	70	1212
55	71	1197
56	71	1185
57	72	1173
58	72	1158
59	73	1144
60	73	1130
61	73	1119
62	74	1105
63	74	1092
64	75	1080
65	75	1068
66	75	1057
67	76	1045
68	76	1034
69	77	1023
70	77	1012
71	77	1003
72	78	993
73	78	983
74	78	974
75	79	964
76	79	955
77	80	946
78	80	937
79	80	928
80	81	920
81	82	920
82	82	911
83	83	905
84	83	898
85	83	892
86	84	884
87	84	877
88	85	870
89	85	864
90	85	858
91	86	851
92	86	844
93	86	837
94	87	831
95	87	824
96	87	817
97	88	811
98	88	805
99	88	799
100	89	793
101	89	788
102	89	782
103	90	777
104	90	771
105	90	765
106	91	760
107	91	755
108	91	750
109	92	746
110	92	741
111	92	736
112	93	732
113	93	729
114	94	725
115	94	720
116	94	715
117	95	711
118	95	707
119	96	704
120	96	699
121	96	695
122	96	691
123	97	687
124	97	683
125	97	679
126	98	675
127	98	671
128	98	667
129	99	664
130	99	660
131	99	657
132	100	653
133	100	649
134	100	646
135	101	642
136	101	639
137	101	636
138	102	633
139	102	629
140	102	626
141	103	623
142	104	623
143	104	621
144	104	618
145	105	615
146	105	613
147	106	610
148	106	607
149	106	605
150	107	602
151	107	599
152	107	596
153	107	593
154	108	590
155	108	587
156	108	584
157	109	582
158	109	579
159	109	576
160	110	573
161	110	570
162	110	568
163	111	566
164	111	563
165	111	561
166	112	558
167	112	556
168	112	553
169	112	551
170	113	549
171	113	546
172	113	544
173	114	542
174	114	540
175	115	538
176	115	536
177	115	535
178	116	533
179	116	531
180	117	529
181	117	527
182	117	525
183	118	523
184	118	521
185	118	519
186	119	517
187	119	515
188	119	513
189	119	511
190	120	509
191	120	507
192	120	505
193	121	503
194	121	501
195	121	499
196	122	497
197	122	495
198	122	493
199	122	491
200	123	489
201	123	488
202	123	486
203	124	484
204	124	482
205	124	481
206	125	479
207	125	478
208	126	476
209	126	475
210	126	473
211	126	472
212	127	470
213	127	468
214	127	467
215	128	465
216	128	463
217	128	462
218	129	460
219	129	458
220	129	457
221	129	455
222	130	453
223	130	452
224	130	450
225	131	449
226	131	447
227	131	446
228	132	444
229	132	443
230	132	441
231	132	440
232	133	438
233	133	437
234	133	435
235	134	434
236	134	432
237	134	431
238	134	429
239	135	428
240	135	427
241	135	425
242	136	424
243	136	422
244	136	421
245	137	420
246	137	419
247	138	418
248	138	418
249	138	416
250	139	415
251	139	414
252	139	412
253	140	411
254	140	410
255	140	408
256	141	407
257	141	406
258	141	405
259	141	403
260	142	402
261	142	401
262	142	400
263	143	398
264	143	397
265	143	396
266	143	395
267	144	393
268	144	392
269	144	391
270	145	390
271	145	389
272	145	387
273	145	386
274	146	385
275	146	384
276	146	383
277	147	382
278	147	381
279	148	380
280	148	379
281	148	378
282	148	377
283	149	376
284	149	375
285	149	374
286	150	373
287	150	372
288	150	371
289	151	370
290	151	369
291	151	368
292	152	367
293	152	366
294	152	365
295	153	364
296	153	363
297	153	362
298	154	361
299	154	360
300	154	359
301	154	358
302	155	357
303	155	356
304	155	355
305	156	354
306	156	353
307	156	352
308	157	351
309	157	350
310	157	349
311	157	348
312	158	347
313	158	346
314	158	345
315	159	344
316	159	343
317	159	342
318	160	341
319	160	341
320	160	340
321	161	339
322	161	338
323	161	337
324	162	336
325	162	335
326	162	334
327	163	334
328	163	333
329	163	332
330	163	331
331	164	330
332	164	329
333	164	328
334	165	327
335	165	326
336	165	325
337	165	324
338	166	324
339	166	323
340	166	322
341	167	321
342	167	320
343	167	319
344	167	318
345	168	318
346	168	317
347	168	316
348	169	315
349	169	314
350	169	313
351	170	313
352	170	312
353	170	311
354	171	311
355	171	310
356	171	309
357	172	308
358	172	308
359	172	307
360	173	306
361	173	305
362	173	304
363	174	304
364	174	303
365	174	302
366	175	301
367	175	301
368	175	300
369	175	299
370	176	298
371	176	298
372	176	297
373	177	296
374	177	295
375	177	295
376	178	294
377	178	293
378	178	292
379	178	291
380	179	291
381	179	290
382	179	289
383	180	288
384	180	288
385	180	287
386	181	286
387	181	286
388	181	285
389	182	285
